Section,=,Rectangular CFST,,,,,No of test,=,401,,,,,,,,,,,
Load type ,=,Axial compression with eccentrically indunced moments,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Refference,,,,,Geometry,,,,Steel,,,Concrete,,,,,,,,
Source,Refference,Year,Ref. No,Speciment,b (mm),h (mm),t (mm),L (mm),fy (MPa),fu (MPa),Ea (Gpa),fc (MPa),Ec (Gpa),fc type,et (mm),eb (mm),Bending Axis,δo (mm),N Test (kN),Notes
Mark (RCFT_C+PBC),Shakir-Khalil & Zeghiche,1989,[50],3,80.00,120.00,4.47,3210.00,384.70,,,40.00,,Cyl,60.00,60.00,y-y,,232.00,
Mark (RCFT_C+PBC),Shakir-Khalil & Zeghiche,1989,[50],4,80.00,120.00,4.47,2940.00,384.70,,,44.00,,Cyl,16.00,16.00,z-z,,260.00,
Mark (RCFT_C+PBC),Shakir-Khalil & Zeghiche,1989,[50],5,80.00,120.00,4.47,2940.00,343.30,,,43.00,,Cyl,40.00,40.00,z-z,,210.00,
Mark (RCFT_C+PBC),Shakir-Khalil & Mouli,1990,[51],1,80.00,120.00,5.00,2940.00,357.50,,,35.70,,Cyl,8.00,8.00,z-z,,407.20,
Mark (RCFT_C+PBC),Matsui & Tsuda,1996,[72],C4-1,150.00,150.00,4.50,600.00,438.36,490.33,,31.87,,Cyl,25.00,25.00,y-y,,1183.66,
Mark (RCFT_C+PBC),Matsui & Tsuda,1996,[72],C4-3,150.00,150.00,4.50,600.00,438.36,490.33,,31.87,,Cyl,75.00,75.00,y-y,,733.54,
Mark (RCFT_C+PBC),Matsui & Tsuda,1996,[72],C4-5,150.00,150.00,4.50,600.00,438.36,490.33,,31.87,,Cyl,125.00,125.00,y-y,,513.87,
Mark (RCFT_C+PBC),Matsui & Tsuda,1996,[72],C8-1,150.00,150.00,4.50,1200.00,438.36,490.33,,31.87,,Cyl,25.00,25.00,y-y,,1132.67,
Mark (RCFT_C+PBC),Matsui & Tsuda,1996,[72],C8-3,150.00,150.00,4.50,1200.00,438.36,490.33,,31.87,,Cyl,75.00,75.00,y-y,,664.89,
Mark (RCFT_C+PBC),Matsui & Tsuda,1996,[72],C8-5,150.00,150.00,4.50,1200.00,438.36,490.33,,31.87,,Cyl,125.00,125.00,y-y,,484.45,
Mark (RCFT_C+PBC),Matsui & Tsuda,1996,[72],C12-1,150.00,150.00,4.50,1800.00,438.36,490.33,,31.87,,Cyl,25.00,25.00,y-y,,1024.79,
Mark (RCFT_C+PBC),Matsui & Tsuda,1996,[72],C12-3,150.00,150.00,4.50,1800.00,438.36,490.33,,31.87,,Cyl,75.00,75.00,y-y,,630.57,
Mark (RCFT_C+PBC),Matsui & Tsuda,1996,[72],C12-5,150.00,150.00,4.50,1800.00,438.36,490.33,,31.87,,Cyl,125.00,125.00,y-y,,445.22,
Mark (RCFT_C+PBC),Matsui & Tsuda,1996,[72],C18-1,150.00,150.00,4.50,2700.00,438.36,490.33,,31.87,,Cyl,25.00,25.00,y-y,,846.31,
Mark (RCFT_C+PBC),Matsui & Tsuda,1996,[72],C18-3,150.00,150.00,4.50,2700.00,438.36,490.33,,31.87,,Cyl,75.00,75.00,y-y,,553.10,
