Type,AISC_Manual_Label,W,As (mm2),h (mm),b (mm),t (mm),tdes (mm),fy (MPa),fc (MPa),L (mm),Pno ANN (kN)
R_HSS,HSS88.9X63.5X7.9,15.6,1900.0,88.9,63.5,7.94,7.39,420,65,3000,369.2632
R_HSS,HSS88.9X63.5X7.9,15.6,1900.0,88.9,63.5,7.94,7.39,240,55,4500,21.953814
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,420,75,2750,670.7797
R_HSS,HSS127X50.8X6.4,15.6,1880.0,127.0,50.8,6.35,5.92,600,55,2750,99.02998
R_HSS,HSS88.9X88.9X6.4,15.6,1880.0,88.9,88.9,6.35,5.92,240,55,4500,143.61513
R_HSS,HSS88.9X88.9X6.4,15.6,1880.0,88.9,88.9,6.35,5.92,420,65,3000,564.1863
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,420,45,2500,560.50336
R_HSS,HSS127X50.8X6.4,15.6,1880.0,127.0,50.8,6.35,5.92,800,65,4250,52.535103
R_HSS,HSS127X50.8X6.4,15.6,1880.0,127.0,50.8,6.35,5.92,800,45,3500,1.8069439
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,240,35,2750,232.21106
R_HSS,HSS88.9X63.5X7.9,15.6,1900.0,88.9,63.5,7.94,7.39,800,45,4250,154.18796
R_HSS,HSS127X50.8X6.4,15.6,1880.0,127.0,50.8,6.35,5.92,800,55,4250,43.126923
R_HSS,HSS88.9X88.9X6.4,15.6,1880.0,88.9,88.9,6.35,5.92,240,45,3000,194.32907
R_HSS,HSS88.9X63.5X7.9,15.6,1900.0,88.9,63.5,7.94,7.39,420,65,4250,210.8264
R_HSS,HSS88.9X63.5X7.9,15.6,1900.0,88.9,63.5,7.94,7.39,600,75,3000,361.6775
R_HSS,HSS127X50.8X6.4,15.6,1880.0,127.0,50.8,6.35,5.92,600,35,4500,165.55214
R_HSS,HSS127X50.8X6.4,15.6,1880.0,127.0,50.8,6.35,5.92,800,75,3500,4.7226048
R_HSS,HSS88.9X63.5X7.9,15.6,1900.0,88.9,63.5,7.94,7.39,240,35,3000,77.55131
R_HSS,HSS88.9X63.5X7.9,15.6,1900.0,88.9,63.5,7.94,7.39,240,45,3000,91.60353
R_HSS,HSS88.9X63.5X7.9,15.6,1900.0,88.9,63.5,7.94,7.39,240,35,2750,72.068954
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,420,35,3000,505.09338
R_HSS,HSS88.9X63.5X7.9,15.6,1900.0,88.9,63.5,7.94,7.39,800,75,4250,175.86848
R_HSS,HSS127X50.8X6.4,15.6,1880.0,127.0,50.8,6.35,5.92,800,65,4500,64.40431
R_HSS,HSS127X50.8X6.4,15.6,1880.0,127.0,50.8,6.35,5.92,800,45,3000,1.8004671
R_HSS,HSS88.9X63.5X7.9,15.6,1900.0,88.9,63.5,7.94,7.39,800,45,3750,208.1896
