Section,=,Rectangular CFST,,,No of tests =,,1003,,,,,,,,,,
Load type ,=,"Axial compression, no moment",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Refference,,,,,Geometry,,,,Steel,,,Concrete,,,,,
Source,Refference,Year,Ref. No,Speciment,b (mm),h (mm),t (mm),L (mm),fy (MPa),fu (MPa),Ea (Gpa),fc (MPa),Ec (Gpa),fc type,δo (mm),N Test (kN),Notes
Bradford (SRC_NM),Guo et al.,2006,[38],S-150-F-2,149.30,149.30,3.63,448.00,283.60,,200.00,31.70,,Cyl,,1785.00,"o=oiled	, c=conc loaded, s=steel loaded	"
Bradford (SRC_NM),Guo et al.,2006,[38],S-150-CF-1 o,149.10,149.10,3.69,448.00,283.60,,200.00,31.70,,Cyl,,1409.00,"o=oiled	, c=conc loaded, s=steel loaded	"
Bradford (SRC_NM),Guo et al.,2006,[38],S-150-CF-2 o,149.00,149.00,3.59,448.00,283.60,,200.00,31.70,,Cyl,,1370.00,"o=oiled	, c=conc loaded, s=steel loaded	"
Bradford (SRC_NM),Guo et al.,2006,[38],S-150-C-1 c,148.60,148.60,3.67,448.00,283.60,,200.00,31.70,,Cyl,,1433.00,"o=oiled	, c=conc loaded, s=steel loaded	"
Bradford (SRC_NM),Guo et al.,2006,[38],S-150-C-2 c,149.40,149.40,3.64,448.00,283.60,,200.00,31.70,,Cyl,,1399.00,"o=oiled	, c=conc loaded, s=steel loaded	"
Bradford (SRC_NM),Guo et al.,2006,[38],S-120-P1 s,120.00,120.00,2.65,360.00,340.00,,200.00,12.20,,Cyl,,635.00,"o=oiled	, c=conc loaded, s=steel loaded	"
Bradford (SRC_NM),Guo et al.,2006,[38],S-120-P2 s,120.00,120.00,2.65,360.00,340.00,,200.00,21.90,,Cyl,,778.00,"o=oiled	, c=conc loaded, s=steel loaded	"
Bradford (SRC_NM),Zhou & Young,2009,[39],A-C40,76.00,76.00,3.09,228.00,199.00,,68.10,36.10,,Cyl,,275.00,"if fc > 60, with .85fc"
Bradford (SRC_NM),Zhou & Young,2009,[39],A-C70,75.90,75.90,3.09,228.00,199.00,,68.10,74.40,,Cyl,,382.00,"if fc > 60, with .85fc"
Bradford (SRC_NM),Zhou & Young,2009,[39],A-C70-R,75.80,75.80,3.09,227.00,199.00,,68.10,74.40,,Cyl,,374.00,"if fc > 60, with .85fc"
Bradford (SRC_NM),Zhou & Young,2009,[39],A-C100,76.00,76.00,3.09,228.00,199.00,,68.10,108.60,,Cyl,,514.00,"if fc > 60, with .85fc"
Bradford (SRC_NM),Zhou & Young,2009,[39],B-C40,88.10,88.10,1.76,269.00,115.00,,67.30,36.10,,Cyl,,299.00,"if fc > 60, with .85fc"
Bradford (SRC_NM),Zhou & Young,2009,[39],B-C70,88.00,88.00,1.76,264.00,115.00,,67.30,74.40,,Cyl,,467.00,"if fc > 60, with .85fc"
Bradford (SRC_NM),Zhou & Young,2009,[39],B-C100,88.00,88.00,1.76,264.00,115.00,,67.30,108.60,,Cyl,,722.00,"if fc > 60, with .85fc"
Bradford (SRC_NM),Zhou & Young,2009,[39],C-C40,101.70,101.70,2.32,300.00,145.00,,67.90,36.10,,Cyl,,415.00,"if fc > 60, with .85fc"
Bradford (SRC_NM),Zhou & Young,2009,[39],C-C70,101.60,101.60,2.32,300.00,145.00,,67.90,74.40,,Cyl,,651.00,"if fc > 60, with .85fc"
Bradford (SRC_NM),Zhou & Young,2009,[39],C-C100,101.50,101.50,2.32,300.00,145.00,,67.90,108.60,,Cyl,,1009.00,"if fc > 60, with .85fc"
Bradford (SRC_NM),Zhou & Young,2009,[39],D-C40,153.00,153.00,3.31,456.00,148.00,,71.80,36.10,,Cyl,,915.00,"if fc > 60, with .85fc"
Bradford (SRC_NM),Zhou & Young,2009,[39],D-C70,152.30,152.30,3.31,456.00,148.00,,71.80,74.40,,Cyl,,1566.00,"if fc > 60, with .85fc"
Bradford (SRC_NM),Zhou & Young,2009,[39],D-C100,152.50,152.50,3.31,455.00,148.00,,71.80,108.60,,Cyl,,2124.00,"if fc > 60, with .85fc"
Bradford (SRC_NM),Zhou & Young,2009,[39],R-A-C40,100.00,44.10,1.57,300.00,145.00,,68.10,36.10,,Cyl,,182.00,"if fc > 60, with .85fc"
Bradford (SRC_NM),Zhou & Young,2009,[39],R-A-C70,100.00,44.10,1.57,300.00,145.00,,68.10,74.40,,Cyl,,296.00,"if fc > 60, with .85fc"
Bradford (SRC_NM),Zhou & Young,2009,[39],R-A-C100,99.90,44.00,1.57,300.00,145.00,,68.10,108.60,,Cyl,,342.00,"if fc > 60, with .85fc"
Bradford (SRC_NM),Zhou & Young,2009,[39],R-B-C40,99.60,44.70,2.90,300.00,228.00,,66.90,36.10,,Cyl,,237.00,"if fc > 60, with .85fc"
Bradford (SRC_NM),Zhou & Young,2009,[39],R-B-C70,99.70,44.10,2.90,300.00,228.00,,66.90,74.40,,Cyl,,271.00,"if fc > 60, with .85fc"
Bradford (SRC_NM),Zhou & Young,2009,[39],R-B-C100,99.80,44.20,2.90,300.00,228.00,,66.90,108.60,,Cyl,,344.00,"if fc > 60, with .85fc"
Bradford (SRC_NM),Neogi et al.,1969,[34],DF3,114.30,114.30,9.63,406.00,258.00,,203.00,32.60,,Cyl,,2442.00,
Bradford (SRC_NM),Neogi et al.,1969,[34],DF4,114.90,114.90,4.39,406.00,258.00,,203.00,32.60,,Cyl,,897.00,
Bradford (SRC_NM),Wei & Han,2000,[121],scdz1-1,120.00,120.00,3.84,360.00,330.10,,200.00,14.60,,Cyl,,882.00,
Bradford (SRC_NM),Wei & Han,2000,[121],scdz1-2,120.00,120.00,3.84,360.00,330.10,,200.00,16.70,,Cyl,,882.00,
Bradford (SRC_NM),Wei & Han,2000,[121],scdz1-3,120.00,120.00,3.84,360.00,330.10,,200.00,16.70,,Cyl,,921.20,
Bradford (SRC_NM),Wei & Han,2000,[121],scdz1-4,120.00,120.00,3.84,360.00,330.10,,200.00,26.40,,Cyl,,1080.00,
Bradford (SRC_NM),Wei & Han,2000,[121],scdz1-5,120.00,120.00,3.84,360.00,330.10,,200.00,28.20,,Cyl,,1078.00,
Bradford (SRC_NM),Wei & Han,2000,[121],scdz2-1,140.00,140.00,3.84,420.00,330.10,,200.00,8.52,,Cyl,,940.80,
Bradford (SRC_NM),Wei & Han,2000,[121],scdz2-2,140.00,140.00,3.84,420.00,330.10,,200.00,8.97,,Cyl,,921.60,
